Compound_Score,Neg_Score,Neu_Score,Pos_Score,Timestamp,Tweet_Text,Tweets_Ago,User
-0.6908,0.439,0.561,0.0,Mon Jan 08 16:03:09 +0000 2018,Somaliland passes first law against rape https://t.co/6jfghHIilr,36,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 15:47:31 +0000 2018,Iran bans English from being taught in primary schools https://t.co/fYEaZ7YbUD,37,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 15:00:59 +0000 2018,Firefighters tackle Trump Tower blaze in New York https://t.co/L2zA8IoHgL,38,BBCWorld
0.6486,0.0,0.773,0.227,Mon Jan 08 14:49:50 +0000 2018,Oprah for President? Her passionate speech about race and sexism at the #GoldenGlobes has left some wishing she'd r… https://t.co/8OKcziYIwR,39,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 14:49:24 +0000 2018,Apple investors urge action on 'smartphone addiction' https://t.co/jvhc9P7kMA,40,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 14:32:05 +0000 2018,"RT @BBC_HaveYourSay: Winfrey for the White House? Nearly 30,000 tweets on the pros and cons of her candidacy

https://t.co/Jfsir1izxM",41,BBCWorld
-0.6369,0.426,0.574,0.0,Mon Jan 08 14:28:46 +0000 2018,"Iran protests: Demonstrator, 22, dies in Tehran prison https://t.co/4iiR6odTdq",42,BBCWorld
0.1531,0.0,0.885,0.115,Mon Jan 08 14:26:05 +0000 2018,"RT @bbcstories: ""In that moment, as he tattooed her number on her left arm, she tattooed her number in his heart.""
https://t.co/afrzFA75li",43,BBCWorld
0.5106,0.0,0.732,0.268,Mon Jan 08 14:19:47 +0000 2018,"US Marines rescue their helicopter... with a BIGGER one 🚁

https://t.co/jgHujdq1Hi https://t.co/Vy5S54OZTC",44,BBCWorld
-0.0516,0.19,0.634,0.176,Mon Jan 08 14:06:02 +0000 2018,Mindy Kaling: US army deletes Twitter like 'mocking Donald Trump' https://t.co/I146jqRRbP,45,BBCWorld
-0.5574,0.265,0.735,0.0,Mon Jan 08 13:24:37 +0000 2018,Deniz Naki: Shots fired at Kurdish footballer's car in Germany https://t.co/mp15dTxEpk,46,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 13:16:44 +0000 2018,Chinese dating apps closed after women revealed to be robots https://t.co/j9yQTHmi2a,47,BBCWorld
0.6369,0.0,0.755,0.245,Mon Jan 08 13:08:45 +0000 2018,"RT @BBC_HaveYourSay: All in one day: Groom combines proposal and wedding ceremony to help ease bride's anxiety💍👰
https://t.co/jRjwrmMcir",48,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 10:59:12 +0000 2018,Ex-Malaysia PM Mahathir to run again for office aged 92 https://t.co/8Faqvv5Fi2,49,BBCWorld
0.5106,0.0,0.708,0.292,Mon Jan 08 10:59:12 +0000 2018,US Marines rescue their helicopter... with a bigger one https://t.co/lrfLo9LqtX,50,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 10:55:41 +0000 2018,Gaza conjoined twins survive separation surgery https://t.co/3znWL742nN,51,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 10:34:27 +0000 2018,Has Lana Del Rey copied Radiohead's Creep? https://t.co/EGmFfi1QI8,52,BBCWorld
